UserId,UserName,UserEmail,UserAddress,UserPhone,DateOfBirth,RegistrationDate,Status,BranchId
1,Gabrielle Anderson,jacobmoore@hotmail.com,"778 Compton Pine Suite 171, Dunlapmouth, AL 57452",2527317877,2010-05-29,2020-01-27,Active,1
2,Michael Baldwin,ashleymoore@bryant.net,"8658 Mendoza Forge, Sandrahaven, NJ 24295",-2831,2001-01-16,2020-03-18,Active,2
3,Jordan Lee,bfranco@hotmail.com,"0382 Williams Knoll Apt. 530, Stanleychester, KY 05555",8768321899,1916-11-06,2019-12-26,Inactive,3
4,Betty Morales,dennisgarcia@harris-lewis.com,"74214 Samantha Ways, Galvanchester, MN 75334",+1-303-993-8340x7934,1982-02-17,2023-03-21,Active,3
5,William Morales,joseph38@farmer.com,"842 Lewis Trace Suite 594, Port Tylerfort, WY 05134",185.393.3804x512,1953-11-16,2022-03-13,Inactive,1
6,Jason Medina,rodriguezjames@thompson-parker.com,"353 Eric Lakes, Fordshire, KS 39792",949.071.4461,1979-07-09,2023-03-02,Inactive,1
7,Heather Giles,oscarrogers@hotmail.com,"97053 Anthony Lodge Suite 155, New Karen, NH 24287",898.057.0948x3919,2022-06-19,2020-12-06,Inactive,3
8,Julie Morgan,wharvey@wells-curry.com,"97622 Bender Key, Pittmanland, MA 68853",001-471-776-0837x31910,2021-03-15,2020-10-19,Inactive,2
9,Rachel Brown,tmonroe@hotmail.com,"197 Zachary Meadow Suite 512, South Brittanyland, NY 47452",001-505-882-2958x6558,1991-02-11,2022-04-24,Active,1
10,Juan Bailey,sandersshelby@barber-allen.com,"6499 Moore Center, South Debrahaven, KS 91528",(958)662-9064,1961-10-14,2021-09-18,Active,2
11,Dwayne Rogers,patriciawebster@gmail.com,"58633 Ewing Vista Apt. 137, North Janice, MD 47040",273-517-3638x3268,1954-04-02,2023-04-01,Active,2
12,Lisa Roberson,elizabethwalters@burton.info,"0110 Rojas Underpass, Youngmouth, IN 95822",001-830-133-8277,1963-03-22,2022-08-17,Inactive,3
13,Jessica Barber,ortegalisa@williams-munoz.com,"7651 Goodman Route Suite 560, Huntbury, NC 13566",9784568622,1944-02-10,2020-11-18,Inactive,2
14,Ashley Reed,henry56@yahoo.com,"320 Jacob Isle Apt. 013, Lake Cherylfurt, NE 69938",259.888.1858x5420,2000-02-15,2021-06-01,Inactive,1
15,Anthony White,harrissarah@yahoo.com,"Unit 0921 Box 0964, DPO AE 18081",(579)704-8253x6362,1937-11-01,2022-06-08,Inactive,1
16,Rick Johnson,michele09@graham-baker.net,"711 Clark Greens Suite 604, West Theresa, DE 03235",-4925,1999-09-16,2020-01-21,Active,3
17,Joseph Garcia,stacey81@clay-perez.org,"2658 Alexander Hill, East Gwendolyn, WI 73848",951-839-1779,1921-08-12,2021-01-09,Active,2
18,Brenda Mckinney,xkim@gmail.com,"36013 Shari Trafficway Apt. 802, Charleneview, MN 61750",123.917.8643,1987-09-17,2019-06-27,Inactive,3
19,Shane Walker MD,jmoore@hotmail.com,"61776 Michael Islands Apt. 502, Port Stephenport, MT 97206",(282)640-0973x112,1936-08-27,2022-06-01,Active,2
20,Nicole Trujillo,miguel84@yahoo.com,"PSC 3455, Box 1822, APO AE 29212",(518)267-1191x7226,2020-08-23,2019-12-05,Inactive,3
21,Kevin Lowe,tbrown@fields.com,"96011 Craig Villages Suite 394, South Michaelport, AR 58125",810-722-8843x42711,1922-02-15,2021-06-12,Active,1
22,Kathy Burns,smiller@hotmail.com,"PSC 2467, Box 1453, APO AA 31447",828.161.2558x56251,2020-05-10,2022-05-22,Inactive,2
23,Shelby Spears,william53@warren.org,"777 Carolyn Hollow, Gonzalezhaven, NM 31791",-7085,1921-04-12,2023-01-14,Active,2
24,Gabriel Dixon,ibailey@rangel-arnold.com,"2350 Parks Mission Suite 279, South Matthew, MD 43147",420-336-2569,1963-04-21,2022-05-08,Active,3
25,George Lane,mark30@miller.com,"26282 Ramos Valleys Apt. 202, Hendersonshire, NM 20424",5434443572,2009-09-16,2022-01-18,Inactive,2
26,Michael Baker,michael30@yahoo.com,"363 Warren Views, Crystalberg, HI 05747",(951)373-3148,1955-08-11,2020-09-20,Active,1
